Orders,precision,recall,f1-score,support
Acorales,1,1,1,2
Alismatales,0.9,0.72,0.8,25
Apiales,0.702702703,0.666666667,0.684210526,39
Arecales,0.6875,0.916666667,0.785714286,12
Asparagales,0.666666667,0.76,0.710280374,50
Asterales,0.605263158,0.58974359,0.597402597,39
Boraginales,0,0,0,4
Brassicales,1,0.333333333,0.5,3
Canellales,0.8,0.8,0.8,10
Caryophyllales,0.888888889,0.761904762,0.820512821,21
Chloranthales,0,0,0,1
Commelinales,0,0,0,1
Cycadales,0.666666667,0.333333333,0.444444444,6
Dipsacales,1,0.75,0.857142857,4
Ericales,0.875,0.583333333,0.7,12
Fabales,0.857142857,0.782608696,0.818181818,23
Gentianales,0.75,0.6,0.666666667,15
Geraniales,1,0.285714286,0.444444444,7
Lamiales,0.655405405,0.843478261,0.737642586,115
Laurales,0.75,0.777777778,0.763636364,27
Liliales,1,1,1,2
Magnoliales,0.634146341,0.565217391,0.597701149,46
Malpighiales,0.770833333,0.860465116,0.813186813,43
Malvales,0.833333333,0.555555556,0.666666667,9
Myrtales,0.678571429,0.633333333,0.655172414,30
Pandanales,0,0,0,1
Pinales,1,0.666666667,0.8,7
Piperales,0,0,0,1
Poales,0.333333333,0.4,0.363636364,15
Proteales,1,1,1,2
Ranunculales,0.695652174,0.8,0.744186047,20
Rosales,0.675675676,0.757575758,0.714285714,33
Santalales,0,0,0,1
Sapindales,0.8,0.592592593,0.680851064,27
Saxifragales,0,0,0,3
Solanales,0,0,0,1
Vitales,1,0.75,0.857142857,4
Zingiberales,0.727272727,0.8,0.761904762,30
accuracy,0.7048,0.7048,0.7048,0.7048
macro avg,0.614206531,0.535537618,0.558590093,691
weighted avg,0.705714626,0.704775687,0.69612551,691
